"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
34.5898540535489,-268.153731350195,0.182128729394262,-3.11958879143366,"Resting","Resting",3600,1,2151,2151,1,1,9
34.453942931131,-268.051188344819,0.170255399762843,0.318654147779347,"Resting","Resting",3600,1,2152,2152,1,5,9
34.4975672400584,-268.099895117554,0.0653867726656489,2.94756972433909,"Resting","Resting",3600,1,2153,2153,1,8,9
34.3727527956294,-267.943560371791,0.200047989919253,3.08493707524611,"Resting","Resting",3600,1,2154,2154,1,8,9
34.3745288548358,-267.946417151429,0.00336386328514713,3.02406323438621,"Resting","Resting",3600,1,2155,2155,1,8,9
34.3745089870117,-267.946383468668,3.9105738623742e-05,3.11829395322343,"Resting","Resting",3600,1,2156,2156,1,8,9
34.4023728653379,-267.971112737787,0.0372549656627035,-2.82958770375973,"Resting","Resting",3600,1,2157,2157,1,1,9
34.2488857243552,-268.088437559139,0.193192691767401,-1.7630746538544,"Resting","Resting",3600,1,2158,2158,1,2,9
34.2495558495279,-268.087899109264,0.000859648774514326,-3.11736781547007,"Resting","Resting",3600,1,2159,2159,1,1,9
34.2437678333439,-268.09310456634,0.0077844662453995,-3.08601167950107,"Resting","Resting",3600,1,2160,2160,1,1,9
34.2923058901505,-267.388483548731,0.706290819291277,-2.37202933643291,"Resting","Resting",3600,1,2161,2161,1,1,9
33.2474952070325,-272.291243571987,5.01285200352002,3.00040359755032,"Exploratory","Resting",3600,1,2162,2162,2,8,9
33.247474359238,-272.291174498808,7.21507770443709e-05,-2.63849953408903,"Resting","Resting",3600,1,2163,2163,1,1,9
34.3820138022636,-276.297171535336,4.16355521212916,3.12444836286168,"Resting","Resting",3600,1,2164,2164,2,8,9
35.1287681912171,-275.547290782994,1.05828316633731,2.08230033159554,"Exploratory","Resting",3600,1,2165,2165,1,7,9
42.7414554995177,-269.701158810703,9.59845128608819,-0.132599189208767,"Transit","Resting",3600,1,2166,2166,4,4,9
42.751276365977,-269.693564201037,0.0124148102681145,0.00336772435029653,"Resting","Resting",3600,1,2167,2167,1,5,9
51.8073882635159,-272.165716618126,9.38747571363382,-0.924744429127916,"Transit","Resting",3600,1,2168,2168,4,3,9
57.4362481026721,-265.333730209365,8.85212411675066,1.14814115935183,"Transit","Resting",3600,1,2169,2169,4,6,9
65.8890224608358,-262.65432369336,8.86727768980072,-0.57468632779236,"Transit","Resting",3600,1,2170,2170,4,4,9
65.6567582390935,-262.800668825363,0.274524254597852,-2.88631438727294,"Resting","Resting",3600,1,2171,2171,1,1,9
66.0044256413697,-262.516783156715,0.448847073589289,-3.01908940043758,"Exploratory","Resting",3600,1,2172,2172,1,1,9
65.9989038734991,-262.522117301123,0.00767743557362486,-3.0582233825602,"Resting","Resting",3600,1,2173,2173,1,1,9
68.0576025510246,-259.508051993781,3.65004519448248,-2.93815919348566,"Resting","Resting",3600,1,2174,2174,2,1,9
67.512497808069,-260.167876665109,0.855866682191575,3.0503632513893,"Resting","Resting",3600,1,2175,2175,1,8,9
55.2494741029397,-274.314529469653,18.7218999026502,-0.0237198403475638,"Transit","Resting",3600,1,2176,2176,5,4,9
50.9158855193356,-279.907132560379,7.07511126006806,0.0549610595240342,"Transit","Resting",3600,1,2177,2177,3,5,9
